"nuts","year","value","level","indicator","type.of.building"
"562","2016",1883,"laucode","bldn_sec","all"
"562","2017",1916,"laucode","bldn_sec","all"
"562","2018",1943,"laucode","bldn_sec","all"
"562","2019",1915,"laucode","bldn_sec","all"
"562","2020",1893,"laucode","bldn_sec","all"
"562","2021",1918,"laucode","bldn_sec","all"
"562","2022",1880,"laucode","bldn_sec","all"
"562","2023",1915,"laucode","bldn_sec","all"
"562","2024",1934,"laucode","bldn_sec","all"
"563","1998",2293,"laucode","bldn_sec","all"
"563","1999",2297,"laucode","bldn_sec","all"
"563","2000",2321,"laucode","bldn_sec","all"
"563","2001",2340,"laucode","bldn_sec","all"
"563","2002",2318,"laucode","bldn_sec","all"
"563","2003",2415,"laucode","bldn_sec","all"
